tamano_cola,capacidad_total,lambda_sobre_mu,lambda,corrida,prob_denegacion,P_bloqueo_teorico
2,3,1.25,12.5,2,0.36475247524752474,0.33875338753387535
2,3,1.25,12.5,3,0.33064516129032256,0.33875338753387535
2,3,1.25,12.5,4,0.34780844155844154,0.33875338753387535
2,3,1.25,12.5,5,0.3219259848786311,0.33875338753387535
2,3,1.25,12.5,6,0.3340122199592668,0.33875338753387535
2,3,1.25,12.5,7,0.36,0.33875338753387535
2,3,1.25,12.5,8,0.3203605079885293,0.33875338753387535
2,3,1.25,12.5,9,0.33088834555827223,0.33875338753387535
2,3,1.25,12.5,10,0.3503507404520655,0.33875338753387535
5,6,0.25,2.5,1,0.0,0.00018311664530305805
5,6,0.25,2.5,2,0.0,0.00018311664530305805
5,6,0.25,2.5,3,0.0,0.00018311664530305805
5,6,0.25,2.5,4,0.0,0.00018311664530305805
5,6,0.25,2.5,5,0.0,0.00018311664530305805
5,6,0.25,2.5,6,0.0,0.00018311664530305805
5,6,0.25,2.5,7,0.0,0.00018311664530305805
5,6,0.25,2.5,8,0.0,0.00018311664530305805
5,6,0.25,2.5,9,0.0,0.00018311664530305805
5,6,0.25,2.5,10,0.0,0.00018311664530305805
5,6,0.5,5.0,1,0.005802707930367505,0.007874015748031496
5,6,0.5,5.0,2,0.00508130081300813,0.007874015748031496
5,6,0.5,5.0,3,0.008712487899322363,0.007874015748031496
5,6,0.5,5.0,4,0.01120162932790224,0.007874015748031496
5,6,0.5,5.0,5,0.0087890625,0.007874015748031496
5,6,0.5,5.0,6,0.007099391480730223,0.007874015748031496
5,6,0.5,5.0,7,0.02014098690835851,0.007874015748031496
5,6,0.5,5.0,8,0.0010050251256281408,0.007874015748031496
5,6,0.5,5.0,9,0.010471204188481676,0.007874015748031496
5,6,0.5,5.0,10,0.016477857878475798,0.007874015748031496
5,6,0.75,7.5,1,0.0531271015467384,0.05134887652320913
5,6,0.75,7.5,2,0.04116059379217274,0.05134887652320913
5,6,0.75,7.5,3,0.06896551724137931,0.05134887652320913
5,6,0.75,7.5,4,0.048242591316333565,0.05134887652320913
5,6,0.75,7.5,5,0.03266157053509382,0.05134887652320913
5,6,0.75,7.5,6,0.07351077313054499,0.05134887652320913
5,6,0.75,7.5,7,0.04899930986887509,0.05134887652320913
5,6,0.75,7.5,8,0.0499675535366645,0.05134887652320913
5,6,0.75,7.5,9,0.06038487060384871,0.05134887652320913
5,6,0.75,7.5,10,0.053440213760855046,0.05134887652320913
5,6,1.0,10.0,1,0.13979591836734695,0.14285714285714285
5,6,1.0,10.0,2,0.13554987212276215,0.14285714285714285
5,6,1.0,10.0,3,0.17123983739837398,0.14285714285714285
5,6,1.0,10.0,4,0.16844660194174757,0.14285714285714285
5,6,1.0,10.0,5,0.11993927125506072,0.14285714285714285
5,6,1.0,10.0,6,0.14865550481988837,0.14285714285714285
5,6,1.0,10.0,7,0.11652977412731007,0.14285714285714285
5,6,1.0,10.0,8,0.1433531746031746,0.14285714285714285
5,6,1.0,10.0,9,0.15554440541896639,0.14285714285714285
